"CEFR","Grammar Point",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,"Answer1","Answer2","Answer3","Answer4","Answer5","Answer6","Answer7","Answer8","Answer9","Answer10","Answer11","Answer12","Answer13","Answer14","Answer15","Answer16","Answer17","Answer18","Answer19","Answer20"
"B1","Rob / Steal","Someone ______ my wallet.","He ______ the car last night.","They ______ money from the bank.","She ______ my idea during the meeting.","I ______ a book from the library yesterday.","We ______ the show tickets online.","You ______ a snack from the kitchen.","My brother ______ my headphones.","She ______ my pen.","They ______ the painting from the gallery.","He ______ my notes.","I ______ her phone accidentally.","We ______ the game from the store.","She ______ my coat.","They ______ the jewels from the safe.","He ______ the candy from the jar.","I ______ the documents by mistake.","We ______ the chair from the old house.","She ______ my bag.","They ______ my bike yesterday.","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole","stole"
"A2","Possessive case of nouns","The ______ color is blue.","That is my brother ______ bike.","She loves her friend ______ house.","We visited the teacher ______ classroom.","I borrowed my sister ______ book.","He fixed the dog ______ collar.","They admired the artist ______ painting.","She opened her mother ______ bag.","We enjoyed the children ______ party.","He repaired the car ______ engine.","My father bought the neighbor ______ flowers.","She cleaned the cat ______ fur.","We admired the author ______ story.","I borrowed my cousin ______ laptop.","They visited the doctor ______ office.","He lost the student ______ notebook.","She fixed the baby ______ toy.","We enjoyed the musician ______ concert.","My mother painted the wall ______ color.","They admired the chef ______ recipe.","car’s","brother’s","friend’s","teacher’s","sister’s","dog’s","artist’s","mother’s","children’s","car’s","neighbor’s","cat’s","author’s","cousin’s","doctor’s","student’s","baby’s","musician’s","mother’s","chef’s"
"B2","Double possessive","She is a good friend ______.","He is a colleague ______.","This is a book ______.","They found a teacher ______.","I met a neighbor ______.","We have a cousin ______.","She is a mentor ______.","He is a student ______.","That is a song ______.","They are friends ______.","I have a dog ______.","She has a brother ______.","We visited a friend ______.","He bought a car ______.","They have a sister ______.","I found a pen ______.","She is a singer ______.","He is a chef ______.","That is a story ______.","We met a writer ______.","of mine","of his","of hers","of ours","of hers","of ours","of hers","of his","of theirs","of theirs","of mine","of hers","of ours","of his","of theirs","of mine","of hers","of his","of theirs","of ours"
"B1","Reflexive / emphasizing pronouns","He did it ______.","She prepared the meal ______.","I made this mistake ______.","They solved the problem ______.","We enjoyed the trip ______.","You can do it ______.","My brother fixed the bike ______.","She wrote the report ______.","I cleaned the room ______.","We built the table ______.","He taught the lesson ______.","They decorated the house ______.","She answered the question ______.","I organized the event ______.","We repaired the car ______.","He painted the wall ______.","She folded the clothes ______.","They completed the project ______.","I made dinner ______.","We planned the party ______.","himself","herself","myself","themselves","ourselves","yourself","himself","herself","myself","ourselves","himself","themselves","herself","myself","ourselves","himself","herself","themselves","myself","ourselves"
"B1","Gerund after prepositions","She left without ______ goodbye.","He is good at ______ problems.","They succeeded in ______ the project.","We talked about ______ abroad.","I am interested in ______ new languages.","She apologized for ______ late.","He is afraid of ______ in public.","They are excited about ______ the game.","We are tired of ______ so much.","She insisted on ______ her opinion.","I am used to ______ early.","He is worried about ______ the exam.","They are capable of ______ great things.","We dream of ______ in a big city.","She is committed to ______ her best.","He is responsible for ______ the event.","They are keen on ______ new skills.","I am proud of ______ my work.","She is focused on ______ the problem.","We are afraid of ______ mistakes.","saying","solving","completing","moving","learning","apologizing","arriving","speaking","doing","expressing","waking","studying","preparing","achieving","living","giving","organizing","learning","fixing","avoiding"
"A2","Much / Many","How ______ apples do you have?","How ______ sugar is in the cake?","There are ______ books on the shelf.","She doesn’t have ______ friends.","He drinks too ______ coffee.","We have ______ chairs in the room.","They don’t eat ______ meat.","I need ______ information about the course.","There are ______ cars on the street.","She bought too ______ clothes.","He doesn’t have ______ money.","We saw ______ birds in the garden.","They made ______ mistakes in the test.","I don’t have ______ time today.","How ______ oranges are in the basket?","She doesn’t eat ______ vegetables.","He has ______ homework to do.","We need ______ chairs for the guests.","There isn’t ______ milk in the fridge.","They drank too ______ water.","many","much","many","many","much","many","many","much","many","many","much","many","many","much","many","many","many","many","much","much"
"A2","Little/Few","I have ___ money left.","She has ___ friends in the city.","There is ___ sugar in the jar.","We saw ___ birds in the park.","He has ___ patience for waiting.","They made ___ mistakes in the test.","I have ___ time to finish this.","She bought ___ apples at the market.","There is ___ milk in the fridge.","We have ___ chairs for the guests.","He drank ___ water.","They had ___ problems yesterday.","I saw ___ cars on the street.","She has ___ homework today.","There is ___ bread left.","We found ___ shells on the beach.","He has ___ energy after the game.","They have ___ ideas for the project.","I need ___ information about this topic.","She has ___ clothes in her closet.","little","few","little","few","little","few","little","few","little","few","little","few","few","little","little","few","little","few","little","few"
"A2","A little / A few","I need ______ minutes.","She has ______ friends coming over.","There is ______ sugar in the bowl.","We bought ______ apples at the market.","He has ______ patience for the children.","They spent ______ time on the project.","I need ______ water to drink.","She made ______ mistakes on the test.","There is ______ bread left in the basket.","We found ______ shells on the beach.","He gave me ______ advice yesterday.","They have ______ books about history.","I have ______ money in my wallet.","She needs ______ paper for the printer.","There are ______ birds in the tree.","We waited ______ minutes for the bus.","He has ______ energy to play football.","She bought ______ oranges for the juice.","I need ______ information about the topic.","They brought ______ chairs for the guests.","a few","a few","a little","a few","a little","a little","a little","a few","a little","a few","a little","a few","a little","a few","a few","a few","a little","a few","a little","a few"
"B1","Too much / Too many","There are ___ people here.","He has ___ work to finish today.","She bought ___ clothes yesterday.","There is ___ noise in this room.","They asked ___ questions in class.","I ate ___ food at lunch.","We have ___ meetings this week.","He drinks ___ coffee every day.","There are ___ cars on this street.","She spends ___ money on clothes.","They gave us ___ homework.","There is ___ traffic in the morning.","He made ___ mistakes on the test.","We watched ___ videos last night.","She has ___ stress at work.","There are ___ rules to remember.","I put ___ salt in the soup.","They invited ___ guests.","There is ___ information to read.","He bought ___ books.","too many","too much","too many","too much","too many","too much","too many","too much","too many","too much","too much","too much","too many","too many","too much","too many","too much","too many","too much","too many"
"B1","So much / So many","She has ___ work today.","There are ___ people waiting outside.","He eats ___ sugar.","She owns ___ books.","We have ___ homework this week.","There is ___ noise here.","They invited ___ guests.","He spends ___ time online.","There are ___ rules to follow.","She shows ___ patience.","We saw ___ problems with the plan.","He drinks ___ coffee.","There is ___ information to read.","They made ___ changes.","She has ___ experience.","There are ___ emails to answer.","He caused ___ trouble.","We wasted ___ time.","There are ___ mistakes in this report.","She felt ___ stress.","so much","so many","so much","so many","so much","so much","so many","so much","so many","so much","so many","so much","so much","so many","so much","so many","so much","so much","so many","so much"
"A2","How much / How many","___ water do we need?","___ people are coming?","___ milk is left?","___ chairs do we have?","___ time do we have?","___ apples are there?","___ money did you spend?","___ students are in the class?","___ bread is left?","___ books do you need?","___ sugar is in the tea?","___ cars are outside?","___ homework do we have?","___ minutes are left?","___ rice do we need?","___ questions are on the test?","___ coffee is there?","___ children are playing?","___ information do you need?","___ eggs are in the fridge?","How much","How many","How much","How many","How much","How many","How much","How many","How much","How many","How much","How many","How much","How many","How much","How many","How much","How many","How much","How many"
"B2","Omission of ""that""","She said ___ she was tired.","He thinks ___ it will rain later.","They told me ___ they were busy.","I believe ___ this is the right answer.","She explained ___ she missed the class.","We heard ___ the shop is closing.","He promised ___ he would call.","They said ___ the test was easy.","I noticed ___ he was nervous.","She believes ___ things will improve.","We agreed ___ it was a good idea.","He claims ___ he saw everything.","They admitted ___ they were wrong.","I hope ___ you understand.","She knew ___ something was wrong.","We decided ___ we should leave.","He realized ___ he made a mistake.","They confirmed ___ the meeting was canceled.","I felt ___ it was important.","She believes ___ he is honest.","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)","(that)"
"B2","Different uses of ""one"" (numerical)","I need ___ more day.","She bought ___ extra ticket.","We have ___ last chance.","He wants ___ more try.","They need ___ more person.","I’ll take ___ final look.","She gave me ___ quick answer.","We have ___ remaining option.","He needs ___ extra minute.","They asked for ___ more example.","I want ___ more coffee.","She made ___ final decision.","We have ___ more problem to solve.","He took ___ last step.","They need ___ more hour.","I’ll give you ___ more chance.","She asked ___ simple question.","We have ___ more thing to do.","He wants ___ second opinion.","They need ___ more reason.","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one"
"B2","""One"" (substitute word)","I prefer the red shirt to the blue ___.","She chose the cheaper ___ instead of the expensive one.","These shoes are nicer than the old ___.","I don’t like this phone; I want a better ___.","He picked the larger ___ from the box.","This problem is harder than the previous ___.","I’ll take the same ___ as yesterday.","Her answer was clearer than his ___.","Those cookies are tastier than the dry ___.","I prefer a quiet ___ to a noisy one.","She bought a small ___, not a large one.","This route is shorter than the other ___.","I like the black ___ more than the white one.","That explanation is better than the first ___.","These chairs are more comfortable than the wooden ___.","I’ll wear the clean ___ today.","This version is simpler than the old ___.","He wants the blue ___, not the green one.","Those ideas are stronger than the weak ___.","I chose the right ___ in the end.","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one"
"B1","Indefinite pronouns","___ called you last night.","___ left their bag here.","___ is knocking at the door.","___ took my phone by mistake.","___ wants to talk to you.","___ forgot their password.","___ sent you a message.","___ is waiting outside.","___ stole my wallet.","___ needs help.","___ asked for you earlier.","___ lost their keys.","___ is using your computer.","___ made a mistake.","___ is on the phone for you.","___ dropped this pen.","___ is looking for you.","___ broke the window.","___ is coming later.","___ took your seat.","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone","Someone"
"A2","Adverbs of manner","She sings ___.","He runs ___.","They speak ___.","The child listens ___.","She works ___.","He drives ___.","The dog barked ___.","They answered ___.","She smiled ___.","He writes ___.","The teacher explained ___.","The baby slept ___.","She danced ___.","He opened the door ___.","They played ___.","She waited ___.","He spoke ___.","The birds flew ___.","She finished the test ___.","He knocked ___.","beautifully","quickly","clearly","quietly","hard","carefully","loudly","politely","happily","neatly","clearly","peacefully","gracefully","slowly","well","patiently","confidently","gracefully","carefully","loudly"
"B1","By + -ing","You improve English by ___.","You stay healthy by ___.","You save money by ___.","You learn new words by ___.","You get fit by ___.","You relax by ___.","You improve pronunciation by ___.","You avoid mistakes by ___.","You meet people by ___.","You stay organized by ___.","You remember names by ___.","You cook faster by ___.","You reduce stress by ___.","You travel cheaply by ___.","You improve listening by ___.","You keep in touch by ___.","You solve problems by ___.","You save time by ___.","You learn about culture by ___.","You stay focused by ___.","practicing","exercising","planning","reading","training","resting","listening","checking","networking","using notes","preparing","preparing","meditating","using buses","watching","calling","thinking","organizing","observing","avoiding distractions"
"A2","Modal: can / could","She ___ ride a bike when she was five.","He ___ swim very well now.","They ___ speak two languages.","I ___ help you today.","We ___ finish this later.","She ___ read when she was four.","He ___ play the guitar now.","They ___ understand the question.","I ___ see the board clearly.","We ___ meet tomorrow.","She ___ use a computer at age six.","He ___ drive now.","They ___ hear the noise.","I ___ remember his name.","We ___ start the lesson.","She ___ write her name as a child.","He ___ open the door.","They ___ solve the problem.","I ___ stay a bit longer.","We ___ try again.","could","can","can","can","can","could","can","can","can","can","could","can","can","can","can","could","can","can","can","can"
"A2","Modal: may / might","It ___ rain later.","She ___ be late today.","They ___ come to the party.","He ___ need help.","We ___ finish early.","The bus ___ arrive soon.","I ___ call you tonight.","She ___ not understand the question.","They ___ miss the train.","He ___ forget the meeting.","We ___ see him later.","It ___ snow tomorrow.","She ___ need more time.","They ___ not agree with us.","He ___ be at home.","We ___ have a problem.","The class ___ end early.","I ___ send an email.","She ___ change her mind.","They ___ arrive late.","might","may","might","may","might","may","might","might","may","might","may","might","may","might","may","might","may","might","might","may"
"A2","Tit for tat (can / may)","___ I borrow your pen?","___ I open the window?","___ I sit here?","___ I ask a question?","___ I use your phone?","___ I leave early today?","___ I come in?","___ I take a photo?","___ I help you?","___ I try again?","___ I go to the bathroom?","___ I close the door?","___ I join you?","___ I turn on the light?","___ I have some water?","___ I start now?","___ I sit next to you?","___ I check my phone?","___ I speak now?","___ I take a break?","May","Can","May","Can","May","May","May","Can","Can","Can","May","Can","Can","Can","May","Can","Can","Can","Can","Can"
"A2","Future tense (will)","I ___ call you tomorrow.","She ___ help you later.","They ___ arrive soon.","He ___ finish the work tonight.","We ___ see you next week.","She ___ send the email today.","He ___ explain it again.","They ___ come back later.","I ___ wait for you here.","We ___ start the meeting soon.","She ___ buy the tickets.","He ___ fix the problem.","They ___ tell you the truth.","I ___ remember to call.","We ___ stay a bit longer.","She ___ check the details.","He ___ meet us outside.","They ___ let you know.","I ___ be there on time.","We ___ try again tomorrow.","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will"
"A2","Be + going to","They ___ travel next week.","I ___ study tonight.","She ___ start a new job.","We ___ watch a movie later.","He ___ call his parents.","The weather ___ change soon.","We ___ meet at 6.","She ___ cook dinner.","They ___ move to a new house.","I ___ buy a new phone.","He ___ fix the car.","We ___ take a test tomorrow.","She ___ learn English.","They ___ visit family.","I ___ clean my room.","He ___ play football.","We ___ leave early.","She ___ ask a question.","They ___ celebrate tonight.","I ___ stay home today.","are going to","am going to","is going to","are going to","is going to","is going to","are going to","is going to","are going to","am going to","is going to","are going to","is going to","are going to","am going to","is going to","are going to","is going to","are going to","am going to"
"A2","Present continuous (future)","I ___ leaving tonight.","She ___ meeting us later.","They ___ coming tomorrow.","He ___ working late tonight.","We ___ traveling next week.","She ___ starting school soon.","I ___ seeing the doctor tomorrow.","They ___ visiting their parents.","He ___ flying on Monday.","We ___ having dinner together.","She ___ moving next month.","I ___ staying home tonight.","They ___ arriving early.","He ___ taking the test tomorrow.","We ___ leaving at noon.","She ___ calling you later.","I ___ meeting my friend tonight.","They ___ going out this evening.","He ___ finishing work early.","We ___ watching a movie tonight.","am","is","are","is","are","is","am","are","is","are","is","am","are","is","are","is","am","are","is","are"
"B1","Future continuous","This time tomorrow, I ___ flying to London.","At 8 p.m., she ___ working.","Tomorrow morning, they ___ waiting for us.","This time next week, he ___ living abroad.","Tonight at 10, we ___ sleeping.","At noon tomorrow, I ___ having lunch.","This time tomorrow, she ___ taking the test.","Next Friday, they ___ traveling together.","Tomorrow evening, he ___ studying.","This time next month, we ___ finishing the project.","At 9 a.m., I ___ driving to work.","Tomorrow night, she ___ watching TV.","This time tomorrow, they ___ using the new system.","At this time tomorrow, he ___ feeling nervous.","Next week, we ___ working late.","Tomorrow afternoon, I ___ meeting the manager.","This time next year, she ___ living in another country.","Tonight, they ___ preparing dinner.","Tomorrow morning, he ___ running.","This time tomorrow, we ___ celebrating.","will be","will be","will be","won’t be","will be","will be","will be","will be","will be","will be","will be","won’t be","will be","will be","won’t be","will be","will be","will be","will be","will be"
"A2","Will you / Shall I / Shall we","___ we start now?","___ I open the window?","___ you help me with this?","___ we sit here?","___ I carry your bag?","___ you close the door?","___ we take a break?","___ I call you later?","___ you explain again?","___ we go by bus?","___ I get you some water?","___ you wait a minute?","___ we invite her?","___ I check the answer?","___ you turn off the light?","___ we meet at six?","___ I send the email?","___ you come with us?","___ we order now?","___ I start first?","Shall","Shall","Will you","Shall","Shall","Will you","Shall","Shall","Will you","Shall","Shall","Will you","Shall","Shall","Will you","Shall","Shall","Will you","Shall","Shall"
"B1","Would / Used to","I ___ live in Brazil when I was a child.","We ___ play outside every day.","She ___ walk to school.","They ___ go camping in summer.","He ___ eat a lot of sweets.","I ___ be very shy.","We ___ visit our grandparents often.","She ___ have long hair.","They ___ travel by train.","He ___ watch cartoons after school.","I ___ wake up early on weekends.","We ___ live near the beach.","She ___ read before bed.","They ___ spend summers there.","He ___ play the piano.","I ___ hate vegetables.","We ___ know everyone in the town.","She ___ work late.","They ___ meet on Fridays.","He ___ drink coffee every morning.","used to","would","would","would","would","used to","would","would","would","would","would","used to","would","would","would","used to","used to","would","would","would"
"A2","Should / Ought to","You ___ study more.","You ___ eat more vegetables.","You ___ see a doctor.","You ___ be careful.","You ___ apologize.","You ___ get some rest.","You ___ listen to your teacher.","You ___ save your work.","You ___ wear a jacket.","You ___ ask for help.","You ___ arrive on time.","You ___ check your answers.","You ___ drink more water.","You ___ call your parents.","You ___ follow the rules.","You ___ clean your room.","You ___ exercise regularly.","You ___ plan ahead.","You ___ respect others.","You ___ turn off your phone.","should","should","ought to","should","ought to","should","should","should","should","should","should","should","should","should","should","should","should","should","should","should"
