STORY,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI
11,8. SHE TURNS ON THE STOVE (CLOSEUP).,8. ELA LIGA O FOGÃO (CLOSEUP).,8. ELLA ENCIENDE LA ESTUFA (PRIMER PLANO).,8. LEI ACCENDE IL FUOCO (PRIMO PIANO).,8. ELLE ALLUME LA CUISINIÈRE (GROS PLAN).,8. SIE SCHALTE DEN HERD EIN (NAHAUFNAHME).,8. 彼女はコンロをつける（クローズアップ）。,8. かのじょはコンロをつける（クローズアップ）。,8. KANOJO WA KONRO WO TSUKERU (KURŌZUAPPU).
11,9. THE OIL IS HOT.,9. O ÓLEO ESTÁ QUENTE.,9. EL ACEITE ESTÁ CALIENTE.,9. L’OLIO È CALDO.,9. L’HUILE EST CHAUDE.,9. DAS ÖL IST HEIß.,9. 油が熱い。,9. あぶらがあつい。,9. ABURA GA ATSUI.
11,10. SHE POURS THE EGGS IN THE FRYING PAN.,10. ELA DESPEJA OS OVOS NA FRIGIDEIRA.,10. ELLA VIERTE LOS HUEVOS EN LA SARTÉN.,10. LEI VERSA LE UOVA NELLA PADELLA.,10. ELLE VERSE LES ŒUFS DANS LA POÊLE.,10. SIE GIEßT DIE EIER IN DIE PFANNE.,10. 彼女は卵をフライパンに入れる。,10. かのじょはたまごをフライパンにいれる。,10. KANOJO WA TAMAGO WO FURAIPAN NI IRERU.
11,11. SHE STIRS THE EGGS.,11. ELA MEXE OS OVOS.,11. ELLA REVUELVE LOS HUEVOS.,11. LEI MESCOLA LE UOVA.,11. ELLE REMUE LES ŒUFS.,11. SIE RÜHRT DIE EIER UM.,11. 彼女は卵をかき混ぜる。,11. かのじょはたまごをかきまぜる。,11. KANOJO WA TAMAGO WO KAKIMAZERU.
11,12. SHE TURNS OFF THE STOVE.,12. ELA DESLIGA O FOGÃO.,12. ELLA APAGA LA ESTUFA.,12. LEI SPEGNE IL FUOCO.,12. ELLE ÉTEINT LA CUISINIÈRE.,12. SIE SCHALTE DEN HERD AUS.,12. 彼女はコンロを消す。,12. かのじょはコンロをけす。,12. KANOJO WA KONRO WO KESU.
11,13. HE PUTS THE EGGS ON THE PLATE WITH A SPOON.,13. ELA COLOCA OS OVOS NO PRATO COM UMA COLHER.,13. ÉL PONE LOS HUEVOS EN EL PLATO CON UNA CUCHARA.,13. LEI METTE LE UOVA SUL PIATTO CON UN CUCCHIAIO.,13. ELLE MET LES ŒUFS SUR L’ASSIETTE AVEC UNE CUILLÈRE.,13. ER GIBT DIE EIER MIT EINEM LÖFFEL AUF DEN TELLER.,13. 彼女はスプーンで卵を皿に置く。,13. かのじょはスプーンでたまごをさらに皿におく。,13. KANOJO WA SUPŪN DE TAMAGO WO SARA NI OKU.
11,14. SHE EATS THE EGGS.,14. ELA COME OS OVOS.,14. ELLA COME LOS HUEVOS.,14. LEI MANGIA LE UOVA.,14. ELLE MANGE LES ŒUFS.,14. SIE ISST DIE EIER.,14. 彼女は卵を食べる。,14. かのじょはたまごをたべる。,14. KANOJO WA TAMAGO WO TABERU.
12,1. BRUNO WALKS TO THE REFRIGERATOR.,1. BRUNO CAMINHA ATÉ A GELADEIRA.,1. BRUNO CAMINA HACIA EL REFRIGERADOR.,1. BRUNO CAMMINA VERSO IL FRIGORIFERO.,1. BRUNO MARCHE VERS LE RÉFRIGÉRATEUR.,1. BRUNO GEHT ZUM KÜHLSCHRANK.,1. ブルーノは冷蔵庫に歩く。,1. ブルーノはれいぞうこにあるく。,1. BURŪNO WA REIZŌKO NI ARUKU.
12,2. HE OPENS THE REFRIGERATOR.,2. ELE ABRE A GELADEIRA.,2. ÉL ABRE EL REFRIGERADOR.,2. LUI APRE IL FRIGORIFERO.,2. IL OUVRE LE RÉFRIGÉRATEUR.,2. ER ÖFFNET DEN KÜHLSCHRANK.,2. 彼は冷蔵庫を開ける。,2. かれはれいぞうこをあける。,2. KARE WA REIZŌKO WO AKERU.
12,3. HE OPENS THE FREEZER.,3. ELE ABRE O CONGELADOR.,3. ÉL ABRE EL CONGELADOR.,3. LUI APRE IL CONGELATORE.,3. IL OUVRE LE CONGÉLATEUR.,3. ER ÖFFNET DEN GEFRIERSCHRANK.,3. 彼は冷凍庫を開ける。,3. かれはれいとうこをあける。,3. KARE WA REITŌKO WO AKERU.
12,4. HE GETS ICE CREAM OUT OF THE FREEZER.,4. ELE PEGA SORVETE DO CONGELADOR.,4. ÉL SACA HELADO DEL CONGELADOR.,4. LUI PRENDE IL GELATO DAL CONGELATORE.,4. IL PREND DE LA GLACE DU CONGÉLATEUR.,4. ER NIMMT EIS AUS DEM GEFRIERSCHRANK.,4. 彼は冷凍庫からアイスクリームを取る。,4. かれはれいとうこからアイスクリームをとる。,4. KARE WA REITŌKO KARA AISUKURĪMU WO TORU.
12,5. HE CLOSES THE REFRIGERATOR.,5. ELE FECHA A GELADEIRA.,5. ÉL CIERRA EL REFRIGERADOR.,5. LUI CHIUDE IL FRIGORIFERO.,5. IL FERME LE RÉFRIGÉRATEUR.,5. ER SCHLIESST DEN KÜHLSCHRANK.,5. 彼は冷蔵庫を閉める。,5. かれはれいぞうこをしめる。,5. KARE WA REIZŌKO WO SHIMERU.
12,"6. HE GETS ICE CREAM OUT OF THE BOX WITH A SPOON, AND PUTS IT IN THE BOWL.",6. ELE PEGA O SORVETE DA CAIXA COM UMA COLHER E COLOCA NA TIGELA.,6. ÉL SACA EL HELADO DE LA CAJA CON UNA CUCHARA Y LO PONE EN EL BOL.,6. LUI PRENDE IL GELATO DALLA SCATOLA CON UN CUCCHIAIO E LO METTE NELLA CIOTOLA.,6. IL PREND LA GLACE DE LA BOÎTE AVEC UNE CUILLÈRE ET LA MET DANS LE BOL.,6. ER NIMMT DAS EIS AUS DER SCHACHTEL MIT EINEM LÖFFEL UND GIBT ES IN DIE SCHÜSSEL.,6. 彼はスプーンで箱からアイスクリームを取り、ボウルに入れる。,6. かれはスプーンではこからアイスクリームをとり、ボウルにいれる。,"6. KARE WA SUPŪN DE HAKO KARA AISUKURĪMU WO TORI, BŌRU NI IRERU."
12,7. HE WALKS TO THE LIVING ROOM.,7. ELE CAMINHA ATÉ A SALA.,7. ÉL CAMINA HACIA LA SALA.,7. LUI CAMMINA VERSO IL SOGGIORNO.,7. IL MARCHE VERS LE SALON.,7. ER GEHT INS WOHNZIMMER.,7. 彼はリビングに歩く。,7. かれはリビングにあるく。,7. KARE WA RIBINGU NI ARUKU.
12,8. HE SINGS.,8. ELE CANTA.,8. ÉL CANTA.,8. LUI CANTA.,8. IL CHANTE.,8. ER SINGT.,8. 彼は歌う。,8. かれはうたう。,8. KARE WA UTAU.
12,9. HE TURNS ON THE TELEVISION.,9. ELE LIGA A TELEVISÃO.,9. ÉL ENCIENDE LA TELEVISIÓN.,9. LUI ACCENDE LA TELEVISIONE.,9. IL ALLUME LA TÉLÉVISION.,9. ER SCHALTE DEN FERNSEHER EIN.,9. 彼はテレビをつける。,9. かれはテレビをつける。,9. KARE WA TEREBI WO TSUKERU.
12,10. HE SITS IN THE RECLINER.,10. ELE SE SENTA NO RECLINÁVEL.,10. ÉL SE SIENTA EN EL SILLÓN RECLINABLE.,10. LUI SI SIEDE SULLA POLTRONA RECLINABILE.,10. IL S’ASSOIT DANS LE FAUTEUIL RELAX.,10. ER SETZT SICH IN DEN RELAXSESSEL.,10. 彼はリクライニングチェアに座る。,10. かれはリクライニングチェアにすわる。,10. KARE WA RIKURAININGU CHEA NI SUWARU.
12,11. HE WATCHES TELEVISION.,11. ELE ASSISTE TELEVISÃO.,11. ÉL MIRA TELEVISIÓN.,11. LUI GUARDA LA TELEVISIONE.,11. IL REGARDE LA TÉLÉVISION.,11. ER SIEHT FERN.,11. 彼はテレビを見る。,11. かれはテレビをみる。,11. KARE WA TEREBI WO MIRU.
12,12. HE WATCHES TELEVISION AND EATS ICE CREAM.,12. ELE ASSISTE TELEVISÃO E COME SORVETE.,12. ÉL MIRA TELEVISIÓN Y COME HELADO.,12. LUI GUARDA LA TELEVISIONE E MANGIA IL GELATO.,12. IL REGARDE LA TÉLÉVISION ET MANGE DE LA GLACE.,12. ER SIEHT FERN UND ISST EIS.,12. 彼はテレビを見ながらアイスクリームを食べる。,12. かれはテレビをみながらアイスクリームをたべる。,12. KARE WA TEREBI WO MINAGARA AISUKURĪMU WO TABERU.
12,13. HE GOES BACK TO THE REFRIGERATOR.,13. ELE VOLTA À GELADEIRA.,13. ÉL VUELVE AL REFRIGERADOR.,13. LUI TORNA AL FRIGORIFERO.,13. IL REVIENT AU RÉFRIGÉRATEUR.,13. ER GEHT ZUM KÜHLSCHRANK ZURÜCK.,13. 彼は冷蔵庫に戻る。,13. かれはれいぞうこにもどる。,13. KARE WA REIZŌKO NI MODORU.
13,1.JESSICA BREAKS A GLASS.,1. JÉSSICA QUEBRA UM COPO.,1. JÉSSICA ROMPE UN VASO.,1. JÉSSICA ROMPE UN BICCHIERE.,1. JÉSSICA CASSE UN VERRE.,1. JESSICA BRICHT EIN GLAS.,1. ジェシカはグラスを割る。,1. ジェシカはグラスをわる。,1. JESHIKA WA GURASU WO WARU.
13,2. SHE GETS THE BIG BROKEN PIECES.,2. ELA PEGA OS GRANDES PEDAÇOS.,2. ELLA TOMA LOS PEDAZOS GRANDES.,2. LEI PRENDE I PEZZI GRANDI.,2. ELLE PREND LES GROS MORCEAUX.,2. SIE NIMMT DIE GROSSEN STÜCKE.,2. 彼女は大きな破片を取る。,2. かのじょはおおきなはへんをとる。,2. KANOJO WA ŌKINA HAHEN WO TORU.
13,3. SHE TAKES THE BIG BROKEN PIECES TO THE TRASH CAN.,3. ELA LEVA OS GRANDES PEDAÇOS PARA O LIXO.,3. ELLA LLEVA LOS PEDAZOS GRANDES A LA PAPELERA.,3. LEI PORTA I PEZZI GRANDI NELL’IMMONDIZIA.,3. ELLE EMPORTE LES GROS MORCEAUX À LA POUBELLE.,3. SIE BRINGT DIE GROSSEN STÜCKE ZUM MÜLLEIMER.,3. 彼女は大きな破片をゴミ箱に運ぶ。,3. かのじょはおおきなはへんをゴミばこにはこぶ。,3. KANOJO WA ŌKINA HAHEN WO GOMIBAKO NI HAKOBU.
13,4. SHE THROWS THE BIG BROKEN PIECES IN THE TRASH CAN.,4. ELA JOGA OS GRANDES PEDAÇOS NO LIXO.,4. ELLA TIRA LOS PEDAZOS GRANDES EN LA PAPELERA.,4. LEI GETTA I PEZZI GRANDI NEL CESTINO.,4. ELLE JETTE LES GROS MORCEAUX DANS LA POUBELLE.,4. SIE WERFT DIE GROSSEN STÜCKE IN DEN MÜLLEIMER.,4. 彼女は大きな破片をゴミ箱に捨てる。,4. かのじょはおおきなはへんをゴミばこにすてる。,4. KANOJO WA ŌKINA HAHEN WO GOMIBAKO NI SUTERU.
13,5. SHE GETS THE BROOM AND THE DUSTPAN.,5. ELA PEGA A VASSOURA E A PA.,5. ELLA TOMA LA ESCOPA Y EL RECOGEDOR.,5. LEI PRENDE LA SCOPA E LA PALETTA.,5. ELLE PREND LE BALAI ET LA PELLE.,5. SIE NIMMT BESEN UND KEHRBLECH.,5. 彼女はほうきとちりとりを取る。,5. かのじょはほうきとちりとりをとる。,5. KANOJO WA HŌKI TO CHIRITORI WO TORU.
13,6. SHE GETS THE BROOM AND THE DUSTPAN.,6. ELA PEGA A VASSOURA E A PA.,6. ELLA TOMA LA ESCOPA Y EL RECOGEDOR.,6. LEI PRENDE LA SCOPA E LA PALETTA.,6. ELLE PREND LE BALAI ET LA PELLE.,6. SIE NIMMT BESEN UND KEHRBLECH.,6. 彼女はほうきとちりとりを取る。,6. かのじょはほうきとちりとりをとる。,6. KANOJO WA HŌKI TO CHIRITORI WO TORU.
13,7. SHE SWEEPS ALL THE SMALL BROKEN PIECES ONTO THE DUSTPAN.,7. ELA VARRE TODOS OS PEQUENOS PEDAÇOS PARA A PA.,7. ELLA BARRE TODOS LOS PEDAZOS PEQUEÑOS HACIA EL RECOGEDOR.,7. LEI SPAZZA TUTTI I PEZZI PICCOLI SULLA PALETTA.,7. ELLE BALAYE TOUS LES PETITS MORCEAUX SUR LA PELLE.,7. SIE KEHRT ALLE KLEINEN STÜCKE AUF DAS KEHRBLECH.,7. 彼女は小さな破片をちりとりに掃く。,7. かのじょはちいさなはへんをちりとりにはく。,7. KANOJO WA CHĪSANA HAHEN WO CHIRITORI NI HAKU.
13,8. SHE THROWS THE SMALL BROKEN PIECES INTO THE TRASH CAN.,8. ELA JOGA OS PEQUENOS PEDAÇOS NO LIXO.,8. ELLA TIRA LOS PEDAZOS PEQUEÑOS EN LA PAPELERA.,8. LEI GETTA I PEZZI PICCOLI NEL CESTINO.,8. ELLE JETTE LES PETITS MORCEAUX DANS LA POUBELLE.,8. SIE WERFT DIE KLEINEN STÜCKE IN DEN MÜLLEIMER.,8. 彼女は小さな破片をゴミ箱に捨てる。,8. かのじょはちいさなはへんをゴミばこにすてる。,8. KANOJO WA CHĪSANA HAHEN WO GOMIBAKO NI SUTERU.
13,9. SHE PUTS BACK THE DUSTPAN AND THE BROOM.,9. ELA COLOCA A PA E A VASSOURA DE VOLTA.,9. ELLA PONE LA ESCOPA Y EL RECOGEDOR DE VUELTA.,9. LEI RIMETTE LA SCOPA E LA PALETTA A POSTO.,9. ELLE REMET LE BALAI ET LA PELLE À LEUR PLACE.,9. SIE STELLT BESEN UND KEHRBLECH ZURÜCK.,9. 彼女はほうきとちりとりを戻す。,9. かのじょはほうきとちりとりをもどす。,9. KANOJO WA HŌKI TO CHIRITORI WO MODOSU.
13,10. SHE GETS ANOTHER GLASS.,10. ELA PEGA OUTRO COPO.,10. ELLA TOMA OTRO VASO.,10. LEI PRENDE UN ALTRO BICCHIERE.,10. ELLE PREND UN AUTRE VERRE.,10. SIE NIMMT EIN ANDERES GLAS.,10. 彼女は別のグラスを取る。,10. かのじょはべつのグラスをとる。,10. KANOJO WA BETSU NO GURASU WO TORU.
13,11. HER HUSBAND SAYS - DON'T BREAK ANOTHER GLASS.,11. SEU MARIDO DIZ - NÃO QUEBRE OUTRO COPO.,11. SU ESPOSO DICE - NO ROMPAS OTRO VASO.,11. SUO MARITO DICE - NON ROMPERE UN ALTRO BICCHIERE.,11. SON MARI DIT - NE CASSE PAS UN AUTRE VERRE.,11. IHR MANN SAGT - BRICHT KEIN WEITERES GLAS.,11. 夫は言う - もう一つグラスを割らないで。,11. おっとはいう - もうひとつグラスをわらないで。,11. OTTO WA IU - MŌ HITOTSU GURASU WO WARANAIDE.
14,1. THE HOUSE IS DIRTY.,1. A CASA ESTÁ SUJA.,1. LA CASA ESTÁ SUCIA.,1. LA CASA È SPORCA.,1. LA MAISON EST SALE.,1. DAS HAUS IST SCHMUTZIG.,1. 家は汚れている。,1. いえはよごれている。,1. IE WA YOGORETE IRU.
14,2. MARIO PUTS ON AN APRON.,2. MARIO VESTE UM AVENTAL.,2. MARIO SE PONE UN DELANTAL.,2. MARIO INDOSSA UN GREMBIULE.,2. MARIO MET UN TABLIER.,2. MARIO ZIEHT EINE SCHÜRZE AN.,2. マリオはエプロンを着る。,2. マリオはエプロンをきる。,2. MARIO WA EPURON WO KIRU.
14,3. THEY PUT BLEACH POWDER IN THE SINK.,3. ELES COLOCAM CLORO EM PÓ NA PIA.,3. PONEN POLVO DE LEJÍA EN EL FREGADERO.,3. METTONO POLVERE DI CANDEGGINA NEL LAVANDINO.,3. ILS METTENT DE LA POUDRE D’EAU DE JAVEL DANS L’ÉVIER.,3. SIE GEBEN BLEICHPULVER IN DAS SPÜLBECKEN.,3. 彼らは流しに漂白粉を入れる。,3. かれらはながしにひょうはくこをいれる。,3. KARERA WA NAGASHI NI HYŌHAKUKO WO IRERU.
14,4. JACK SCRUBS THE SINK WITH A SPONGE.,4. JACK ESFREGA A PIA COM UMA ESPONJA.,4. JACK FRIEGA EL FREGADERO CON UNA ESPONJA.,4. JACK STROFINA IL LAVANDINO CON UNA SPUGNA.,4. JACK FROTTE L’ÉVIER AVEC UNE ÉPONGE.,4. JACK SCHRUBBT DAS SPÜLBECKEN MIT EINEM SCHWAMM.,4. ジャックはスポンジで流しをこする。,4. ジャックはスポンジでながしをこする。,4. JAKKU WA SUPONJI DE NAGASHI WO KOSURU.
14,5. MARIO GETS A BROOM.,5. MARIO PEGA UMA VASSOURA.,5. MARIO TOMA UNA ESCOPA.,5. MARIO PRENDE UNA SCOPA.,5. MARIO PREND UN BALAI.,5. MARIO NIMMT EINEN BESEN.,5. マリオはほうきを取る。,5. マリオはほうきをとる。,5. MARIO WA HŌKI WO TORU.
14,6. HE SWEEPS THE KITCHEN FLOOR.,6. ELE VARRE O CHÃO DA COZINHA.,6. ÉL BARRE EL SUELO DE LA COCINA.,6. LUI SPAZZOLA IL PAVIMENTO DELLA CUCINA.,6. IL BALAYE LE SOL DE LA CUISINE.,6. ER KEHRT DEN KÜCHENBODEN.,6. 彼はキッチンの床を掃く。,6. かれはキッチンのゆかをはく。,6. KARE WA KITCHIN NO YUKA WO HAKU.
14,7. JACK FILLS A BUCKET WITH WATER.,7. JACK ENCHE UM BALDE COM ÁGUA.,7. JACK LLENA UN CUBO CON AGUA.,7. JACK RIEMPIE UN SECCHIO D’ACQUA.,7. JACK REMPLIT UN SEAU D’EAU.,7. JACK FÜLLT EINEN EIMER MIT WASSER.,7. ジャックはバケツに水を入れる。,7. ジャックはバケツにみずをいれる。,7. JAKKU WA BAKETSU NI MIZU WO IRERU.
14,8. HE PUTS SOAP IN THE WATER.,8. ELE COLOCA SABÃO NA ÁGUA.,8. ÉL PONE JABÓN EN EL AGUA.,8. LUI METTE IL SAPONE NELL’ACQUA.,8. IL MET DU SAVON DANS L’EAU.,8. ER GIBT SEIFE INS WASSER.,8. 彼は水に石鹸を入れる。,8. かれはみずにせっけんをいれる。,8. KARE WA MIZU NI SEKKEN WO IRERU.
14,9. HE MOPS THE KITCHEN FLOOR.,9. ELE PASSA MOP NO CHÃO DA COZINHA.,9. ÉL FRIEGA EL SUELO DE LA COCINA.,9. LUI LAVA IL PAVIMENTO DELLA CUCINA CON UN MOP.,9. IL LAVE LE SOL DE LA CUISINE AVEC UN BALAI-BROSSE.,9. ER WISCHT DEN KÜCHENBODEN.,9. 彼はキッチンの床をモップで拭く。,9. かれはキッチンのゆかをモップでふく。,9. KARE WA KITCHIN NO YUKA WO MOPPU DE FUKU.
14,10. MARIO GETS A RAG.,10. MARIO PEGA UM PANINHO.,10. MARIO TOMA UN PAÑO.,10. MARIO PRENDE UN PANNETTO.,10. MARIO PREND UN CHIFFON.,10. MARIO NIMMT EIN TUCH.,10. マリオは雑巾を取る。,10. マリオはぞうきんをとる。,10. MARIO WA ZŌKIN WO TORU.
14,11. HE DUSTS THE FURNITURE WITH THE RAG.,11. ELE TIRA O PÓ DOS MÓVEIS COM O PANINHO.,11. ÉL QUITA EL POLVO DE LOS MUEBLES CON EL PAÑO.,11. LUI SPOLVERA I MOBILI CON IL PANNO.,11. IL DÉPOUSSIÈRE LES MEUBLES AVEC LE CHIFFON.,11. ER ENTSTAUBT DIE MÖBEL MIT DEM TUCH.,11. 彼は雑巾で家具のほこりを払う。,11. かれはぞうきんでかぐのほこりをはらう。,11. KARE WA ZŌKIN DE KAGU NO HOKORI WO HARAU.
14,12. JACK PUTS THE TRASH IN THE TRASH CAN.,12. JACK COLOCA O LIXO NO LIXEIRO.,12. JACK PONE LA BASURA EN LA PAPELERA.,12. JACK METTE LA SPAZZATURA NELL’IMMONDIZIA.,12. JACK MET LES ORDURES DANS LA POUBELLE.,12. JACK STELLT DEN MÜLL IN DEN MÜLLEIMER.,12. ジャックはゴミをゴミ箱に入れる。,12. ジャックはゴミをゴミばこにいれる。,12. JAKKU WA GOMI WO GOMIBAKO NI IRERU.
14,13. HE VACUUMS THE RUG.,13. ELE ASPIRA O TAPETE.,13. ÉL ASPIRA LA ALFOMBRA.,13. LUI ASPIRA IL TAPPETO.,13. IL PASSE L’ASPIRATEUR SUR LE TAPIS.,13. ER SAUGT DEN TEPPICH.,13. 彼はカーペットを掃除機で吸う。,13. かれはカーペットをそうじきですう。,13. KARE WA KĀPETTO WO SŌJIKI DE SŪ.
14,14. THE HOUSE IS CLEAN.,14. A CASA ESTÁ LIMPA.,14. LA CASA ESTÁ LIMPIA.,14. LA CASA È PULITA.,14. LA MAISON EST PROPRE.,14. DAS HAUS IST SAUBER.,14. 家はきれい。,14. いえはきれい。,14. IE WA KIREI.
15,1. JEFFREY BREAKS A PLATE.,1. JEFFREY QUEBRA UM PRATO.,1. JEFFREY ROMPE UN PLATO.,1. JEFFREY ROMPE UN PIATTO.,1. JEFFREY CASSE UNE ASSIETTE.,1. JEFFREY BRICHT EINEN TELLER.,1. ジェフリーは皿を割る。,1. ジェフリーはさらをわる。,1. JEFURĪ WA SARA WO WARU.
15,2. HE PICKS UP THE BROKEN PIECES.,2. ELE PEGA OS PEDAÇOS QUEBRADOS.,2. ÉL RECOGE LOS PEDAZOS ROTOS.,2. LUI PRENDE I PEZZI ROTTI.,2. IL RAMASSE LES MORCEAUX CASSÉS.,2. ER NIMMT DIE GEBROCHENEN STÜCKE AUF.,2. 彼は割れた破片を取る。,2. かれはわれたはへんをとる。,2. KARE WA WARETA HAHEN WO TORU.
15,3. HE WALKS TO THE CUPBOARD.,3. ELE CAMINHA ATÉ O ARMÁRIO.,3. ÉL CAMINA HACIA EL ARMARIO.,3. LUI CAMMINA VERSO L’ARMADIO.,3. IL MARCHE VERS LE PLACARD.,3. ER GEHT ZUM SCHRANK.,3. 彼は戸棚に歩く。,3. かれはとだなにあるく。,3. KARE WA TODANA NI ARUKU.
15,4. HE GETS THE GLUE.,4. ELE PEGA A COLA.,4. ÉL TOMA EL PEGAMENTO.,4. LUI PRENDE LA COLLA.,4. IL PREND LA COLLE.,4. ER NIMMT DEN KLEBER.,4. 彼は接着剤を取る。,4. かれはせっちゃくざいをとる。,4. KARE WA SECCHAKUZAI WO TORU.
15,5. HE TAKES OFF THE LID.,5. ELE TIRA A TAMPA.,5. ÉL QUITA LA TAPA.,5. LUI TOGLIE IL TAPPO.,5. IL ENLÈVE LE COUVERCLE.,5. ER NIMMT DEN DECKEL AB.,5. 彼は蓋を外す。,5. かれはふたをはずす。,5. KARE WA FUTA WO HAZUSU.
15,6. HE SQUEEZES THE GLUE.,6. ELE ESPREME A COLA.,6. ÉL APRIETA EL PEGAMENTO.,6. LUI SPREME LA COLLA.,6. IL PRESSE LA COLLE.,6. ER DRÜCKT DEN KLEBER AUS.,6. 彼は接着剤を絞る。,6. かれはせっちゃくざいをしぼる。,6. KARE WA SECCHAKUZAI WO SHIBORU.
15,7. HE PUTS GLUE ON THE BROKEN PIECES.,7. ELE COLOCA COLA NOS PEDAÇOS QUEBRADOS.,7. ÉL PONE PEGAMENTO EN LOS PEDAZOS ROTOS.,7. LUI METTE LA COLLA SUI PEZZI ROTTI.,7. IL MET DE LA COLLE SUR LES MORCEAUX CASSÉS.,7. ER GIBT KLEBER AUF DIE GEBROCHENEN STÜCKE.,7. 彼は割れた破片に接着剤を塗る。,7. かれはわれたはへんにせっちゃくざいをぬる。,7. KARE WA WARETA HAHEN NI SECCHAKUZAI WO NURU.
15,8. HE GLUES THE BROKEN PIECES TOGETHER.,8. ELE COLA OS PEDAÇOS QUEBRADOS.,8. ÉL PEGA LOS PEDAZOS ROTOS CON PEGAMENTO.,8. LUI INCOLLA I PEZZI ROTTI.,8. IL COLLE LES MORCEAUX CASSÉS ENSEMBLE.,8. ER KLEBT DIE GEBROCHENEN TEILE ZUSAMMEN.,8. 彼は割れた破片を接着する。,8. かれはわれたはへんをせっちゃくする。,8. KARE WA WARETA HAHEN WO SECCHAKU SURU.
15,9. HE HOLDS THE PLATE TOGETHER FOR FIVE MINUTES.,9. ELE SEGURA O PRATO JUNTO POR CINCO MINUTOS.,9. ÉL SOSTIENE EL PLATO JUNTO POR CINCO MINUTOS.,9. LUI TIENE IL PIATTO INSIEME PER CINQUE MINUTI.,9. IL TIEN LE PLAT ENSEMBLE PENDANT CINQ MINUTES.,9. ER HÄLT DEN TELLER FÜNF MINUTEN ZUSAMMEN.,9. 彼は皿を5分間押さえる。,9. かれはさらを5ふんかんおさえる。,9. KARE WA SARA WO 5 FUNKAN OSAERU.
15,10. HE PUTS DOWN THE PLATE ON THE TABLE CAREFULLY.,10. ELE COLOCA O PRATO NA MESA COM CUIDADO.,10. ÉL PONE EL PLATO EN LA MESA CON CUIDADO.,10. LUI METTE IL PIATTO SUL TAVOLO CON CURA.,10. IL POSE L’ASSIETTE SUR LA TABLE AVEC PRÉCAUTION.,10. ER STELLT DEN TELLER VORSICHTIG AUF DEN TISCH.,10. 彼は皿を慎重にテーブルに置く。,10. かれはさらをしんちょうにテーブルにおく。,10. KARE WA SARA WO SHINCHŌ NI TĒBURU NI OKU.
15,11. HE PUTS BACK THE LID.,11. ELE COLOCA A TAMPA DE VOLTA.,11. ÉL PONE LA TAPA DE VUELTA.,11. LUI RIPONE IL TAPPO.,11. IL REMET LE COUVERCLE.,11. ER SETZT DEN DECKEL ZURÜCK.,11. 彼は蓋を戻す。,11. かれはふたをもどす。,11. KARE WA FUTA WO MODOSU.
15,12. HE PUTS THE GLUE BACK IN THE CUPBOARD.,12. ELE COLOCA A COLA DE VOLTA NO ARMÁRIO.,12. ÉL DEVUELVE EL PEGAMENTO AL ARMARIO.,12. LUI RIPONE LA COLLA NELL’ARMADIO.,12. IL REMET LA COLLE DANS LE PLACARD.,12. ER STELLT DEN KLEBER ZURÜCK IN DEN SCHRANK.,12. 彼は接着剤を戸棚に戻す。,12. かれはせっちゃくざいをとだなにもどす。,12. KARE WA SECCHAKUZAI WO TODANA NI MODOSU.
15,13. HE WAITS FOR A DAY.,13. ELE ESPERA UM DIA.,13. ÉL ESPERA UN DÍA.,13. LUI ASPETTA UN GIORNO.,13. IL ATTEND UN JOUR.,13. ER WARTET EINEN TAG.,13. 彼は1日待つ。,13. かれはいちにちまつ。,13. KARE WA ICHINICHI MATSU.
15,14. HE GIVES THE PLATE TO HIS FRIEND.,14. ELE DÁ O PRATO AO SEU AMIGO.,14. ÉL DA EL PLATO A SU AMIGO.,14. LUI DÀ IL PIATTO AL SUO AMICO.,14. IL DONNE L’ASSIETTE À SON AMI.,14. ER GIBT DEN TELLER SEINEM FREUND.,14. 彼は皿を友達に渡す。,14. かれはさらをともだちにわたす。,14. KARE WA SARA WO TOMODACHI NI WATASU.
16,1. MARINA WALKS.,1. MARINA CAMINHA.,1. MARINA CAMINA.,1. MARINA CAMMINA.,1. MARINA MARCHE.,1. MARINA GEHT.,1. マリナは歩く。,1. マリナはあるく。,1. MARINA WA ARUKU.
16,2. SHE FALLS DOWN.,2. ELA CAI.,2. ELLA SE CAE.,2. LEI CADE.,2. ELLE TOMBE.,2. SIE FÄLLT.,2. 彼女は転ぶ。,2. かのじょはころぶ。,2. KANOJO WA KOROBU.
16,3. SHE GETS UP.,3. ELA SE LEVANTA.,3. ELLA SE LEVANTA.,3. LEI SI ALZA.,3. ELLE SE LÈVE.,3. SIE STEHT AUF.,3. 彼女は立ち上がる。,3. かのじょはたちあがる。,3. KANOJO WA TACHIAGARU.
16,4. HER KNEE HURTS.,4. O JOELHO DELA DÓI.,4. SU RODILLA DUELE.,4. IL SUO GINOCCHIO FA MALE.,4. SON GENOU DOLE.,4. IHR KNIE TUT WEH.,4. 彼女の膝が痛い。,4. かのじょのひざがいたい。,4. KANOJO NO HIZA GA ITAI.
16,5. SHE CRIES.,5. ELA CHORA.,5. ELLA LLORA.,5. LEI PIANGE.,5. ELLE PLEURE.,5. SIE WEINT.,5. 彼女は泣く。,5. かのじょはなく。,5. KANOJO WA NAKU.
